Enlem,Boylam,Cluster,Restoran Çeşidi
40.9640945,29.0756064,Orta Halli Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.9896761,29.0283228,Zengin Restoran,Yeni Nesil Meyhane
40.97392,29.046129,Zengin Restoran,Kebap
40.9873587,29.0260049,Zengin Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.9574838,29.0872196,Zengin Restoran,Pub & Bistro & Kokteyl Bar
40.9553719,29.0891683,Orta Halli Restoran,Kebap
40.977344,29.04171,Zengin Restoran,Modern Pub & Bistro
40.9572091,29.0875839,Orta Halli Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.9568951,29.0801473,Zengin Restoran,Balık
40.9594462,29.072956,Zengin Restoran,Yeni Nesil Meyhane
40.9671797,29.0654234,Orta Halli Restoran,Modern Pub & Bistro
40.985489,29.107654,Zengin Restoran,Kebap
41.0007027,29.0548519,Orta Halli Restoran,Modern Pub & Bistro
40.9871309,29.0854914,Zengin Restoran,Yeni Nesil Meyhane
40.9923266,29.1158863,Orta Halli Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.9854827,29.0255633,Orta Halli Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.9710375,29.0391927,Zengin Restoran,Kebap
41.1046902,28.9860565,Orta Halli Restoran,Fine Dining (D.Mutf-Şar.Evi)
41.0563988,29.052623,Zengin Restoran,Balık
40.974362,29.042106,Zengin Restoran,Yeni Nesil Meyhane
40.9607696,29.0746858,Zengin Restoran,Modern Pub & Bistro
40.9615885,29.0844139,Zengin Restoran,Modern Pub & Bistro
40.9744192,29.0471358,Orta Halli Restoran,Pub & Bistro & Kokteyl Bar
40.9739556,29.055654,Orta Halli Restoran,Pub & Bistro & Kokteyl Bar
40.9812812,29.1073989,Orta Halli Restoran,Modern Pub & Bistro
40.982905,29.0328513,Orta Halli Restoran,Geleneksel Meyhane
40.979471,29.024052,Zengin Restoran,Tekne-Event Hall-Catering
40.9871164,29.1113246,Orta Halli Restoran,Pub & Bistro & Kokteyl Bar
40.971751,29.060118,Zengin Restoran,Kebap
40.9801066,29.0245649,Zengin Restoran,Balık
41.00067,29.1021579,Zengin Restoran,Balık
40.9568008,29.0803663,Zengin Restoran,Modern Pub & Bistro
40.991095,29.1323452,Orta Halli Restoran,Kebap
40.9896828,29.0283837,Zengin Restoran,Geleneksel Meyhane
40.988487,29.023012,Orta Halli Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.9642505,29.0702204,Zengin Restoran,Modern Pub & Bistro
40.9641596,29.0754771,Orta Halli Restoran,Modern Pub & Bistro
40.981293,29.02255,Zengin Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.958363,29.086557,Orta Halli Restoran,Modern Pub & Bistro
40.9634949,29.0765373,Zengin Restoran,Pub & Bistro & Kokteyl Bar
40.971422,29.0524539,Orta Halli Restoran,Modern Pub & Bistro
40.9877396,29.0247453,Orta Halli Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.9569106,29.0881585,Zengin Restoran,Modern Pub & Bistro
40.9538889,29.0936111,Zengin Restoran,Geleneksel Meyhane
40.973718,29.045956,Zengin Restoran,Balık
40.9693163,29.0336236,Orta Halli Restoran,Tekne-Event Hall-Catering
41.0462166,29.0494265,Zengin Restoran,Balık
41.0274,29.0423,Orta Halli Restoran,Modern Pub & Bistro
40.9838722,29.026349,Zengin Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.9741371,29.0361424,Zengin Restoran,Yeni Nesil Meyhane
40.9573639,29.0807648,Zengin Restoran,Gece Kulübü
40.998656,29.099195,Zengin Restoran,Kebap
40.9682196,29.0578166,Orta Halli Restoran,Balık
40.986026,29.100493,Orta Halli Restoran,Modern Pub & Bistro
40.988133,29.027021,Orta Halli Restoran,Modern Pub & Bistro
40.9536972,29.0900323,Zengin Restoran,Balık
40.9567002,29.08026709,Zengin Restoran,Kebap
40.9936105,29.120838,Orta Halli Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.9591732,29.0727477,Zengin Restoran,Balık
41.0099008,29.0409006,Orta Halli Restoran,Yeni Nesil Meyhane
41.0055216,29.046431,Orta Halli Restoran,Balık
40.9800302,29.039361,Orta Halli Restoran,Kebap
40.99793436,29.10033471,Orta Halli Restoran,Tekne-Event Hall-Catering
40.9889112,29.0247242,Orta Halli Restoran,Modern Pub & Bistro
